Date,diff,height,value,Close
2018-11-28,9928413637.10395,295951,4169079.50807474,21.73
2018-11-28,9928413637.10395,295952,4168784.53459771,21.73
2018-11-28,9928413637.10395,295953,4168585.64857614,21.73
2018-11-28,9928413637.10395,295954,4168504.58481463,21.73
2018-11-28,9928413637.10395,295955,4168105.14787372,21.73
2018-11-28,9928413637.10395,295956,4167906.73236102,21.73
2018-11-28,9928413637.10395,295957,4167500.81692317,21.73
2018-11-28,9928413637.10395,295958,4167810.32021481,21.73
2018-11-28,9928413637.10395,295959,4167614.64694775,21.73
2018-11-28,9928413637.10395,295960,4167522.92833991,21.73
2018-11-28,9928413637.10395,295961,4167222.61245994,21.73
2018-11-28,9928413637.10395,295962,4167434.04327026,21.73
2018-11-28,9928413637.10395,295963,4167336.23363434,21.73
2018-11-28,9928413637.10395,295964,4167146.09298012,21.73
2018-11-28,9928413637.10395,295965,4167674.22809621,21.73
2018-11-28,9928413637.10395,295966,4167565.33819586,21.73
2018-11-28,9928413637.10395,295967,4167369.11337297,21.73
2018-11-28,9928413637.10395,295968,4166965.8291425,21.73
2018-11-28,9928413637.10395,295969,4166759.20060924,21.73
2018-11-28,9928413637.10395,295970,4166878.87285046,21.73
2018-11-28,9928413637.10395,295971,4166891.87857831,21.73
2018-11-28,9928413637.10395,295972,4166796.09129478,21.73
2018-11-28,9928413637.10395,295973,4167447.38226971,21.73
2018-11-28,9928413637.10395,295974,4167155.72623228,21.73
2018-11-28,9928413637.10395,295975,4166842.63601819,21.73
2018-11-28,9928413637.10395,295976,4166859.85850227,21.73
2018-11-28,9928413637.10395,295977,4166758.18608633,21.73
2018-11-28,9928413637.10395,295978,4166672.20942274,21.73
2018-11-28,9928413637.10395,295979,4167309.24858956,21.73
2018-11-28,9928413637.10395,295980,4167753.6677406,21.73
2018-11-28,9928413637.10395,295981,4167348.08794002,21.73
2018-11-28,9928413637.10395,295982,4167141.89539973,21.73
2018-11-28,9928413637.10395,295983,4166936.463109,21.73
2018-11-28,9928413637.10395,295984,4166949.77557772,21.73
2018-11-28,9928413637.10395,295985,4166847.42247189,21.73
